model,instruction,expected,predicted,em
qwen-base-0.5b,"An apple tree has three times as many apples as the number of plums on a plum tree. If Damien picks 3/5 of the fruits from the trees, calculate the total number of plums and apples remaining on the tree if there were 180 apples on the apple tree before Damien picked any of the fruits.",96,,0
qwen-base-0.5b,"Mary is counting the number of minnows in the pond. 40% of the minnows have red bellies, 30% have green bellies and the rest have white bellies. If 20 minnows have red bellies, how many minnows have white bellies?",15,,0
qwen-base-0.5b,"Mark buys a Magic card for $100, which then triples in value.  How much profit would he make selling it?",200,,0
qwen-base-0.5b,"On Tuesday, Liza had $800 in her checking account. On Wednesday, she paid her rent, $450. On Thursday, she deposited her $1500 paycheck. On Friday, she paid her electricity and internet bills which were $117 and $100, respectively. Then on Saturday, she paid her phone bill, $70. How much money is left in Liza's account?",1563,,0
qwen-base-0.5b,Jon buys 2 coffees a day from his favorite coffee shop.  They cost $2 each.  How much does he spend in April?,120,,0
qwen-base-0.5b,"Zilla spent 7% of her monthly earnings on rent, half of it on her other monthly expenses, and put the rest in her savings. If she spent $133 on her rent, how much does she deposit into her savings account in a month?",817,,0
qwen-base-0.5b,John starts a TV show.  He pays $1000 per episode for the first half of the season.  The second half of the season had episodes that cost 120% more expensive.  If there are 22 episodes how much did the entire season cost?,"35,200",,0
qwen-base-0.5b,"Megan bought 2 dozen eggs. As she was walking to her car, she dropped a tray of eggs. 3 eggs broke, and twice as many cracked. What is the difference between the eggs that are still in perfect condition and those that are cracked?",9,,0
qwen-base-0.5b,"Katrina saw an ad that said if she signed up for her local recycling program, she could earn $5.00.  When she signed up, they told her for every friend that she referred, the friend would receive $5.00 and she would receive another $5.00 per friend.  That day, she had 5 friends sign up and another 7 friends by the end of the week.  How much money in total did she and her friends make?",125,,0
qwen-base-0.5b,"John is twice as old as Mary and half as old as Tonya. If Tanya is 60, what is their average age?",35,,0
qwen-base-0.5b,"Carson leans over the railing at the zoo to get the perfect selfie and falls into the combined wombat and rhea enclosure.  There are 9 wombats and 3 rheas. If each wombat claws him 4 times and each rhea claws him once, how many times does he get clawed?",39,,0
qwen-base-0.5b,"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?",220,,0
qwen-base-0.5b,"John buys 2 shirts. The first shirt costs $6 more than the second shirt. If the first shirt costs $15, how much, in dollars, did the shirts cost in total?",24,,0
qwen-base-0.5b,"Isabella has three times as many green houses as yellow houses. She also has 40 fewer yellow houses than red houses. If she has 90 green houses, how many of her houses are not yellow?",160,,0
qwen-base-0.5b,"Caroline has 40 pairs of socks. She loses 4 pairs of socks at the laundromat. Of the remaining pairs of socks, she donates two-thirds to the thrift store. Then she purchases 10 new pairs of socks, and she receives 3 new pairs of socks as a gift from her dad. How many pairs of socks does Caroline have in total?",25,,0
qwen-base-0.5b,Ernie's income is 4/5 of what it used to be and Jack's income is now twice what Ernie used to make. How much do they earn combined if Ernie used to make $6000?,16800,,0
qwen-base-0.5b,"Jordan decides to start an exercise program when he weighs 250 pounds.  For the first 4 weeks, he loses 3 pounds a week.  After that, he loses 2 pounds a week for 8 weeks.  How much does Jordan now weigh?",222,,0
qwen-base-0.5b,There were 349 pieces of candy in a bowl. Talitha took 108 pieces and Solomon took 153 pieces. How many pieces of candy remain in the bowl?,88,,0
qwen-base-0.5b,"Nicki spent the last year running a lot. For the first half of the year, she ran a total of 20 miles per week. For the second half of the year, she increased the mileage to 30 miles per week. How many miles total did she run for the year?",1300,,0
qwen-base-0.5b,"Gunner has a box of mittens with 20 fewer pairs than a box of plugs. He decides to put 30 more pairs of plugs into the box of plugs. If the box of mittens has 150 pairs of mittens, how many plugs are there?",400,,0
qwen-base-0.5b,Ryan is considering buying a new multivitamin brand.  Each pill has 50 mg of Vitamin A in it.  The recommended daily serving of Vitamin A is 200 mg.  How many pills does Ryan need to hit the recommended amount for the week?,28,,0
qwen-base-0.5b,"Nathan went to the arcade. He played the air hockey game 2 times and the basketball game 4 times. If each game cost 3 tokens, how many tokens did he use?",18,,0
qwen-base-0.5b,"There are 92 students altogether. Twenty of them ride the school bus home together, 5/8 of the remaining ride their own bike home, and the rest whose houses are near the school walk home. How many students are walking home?",27,,0
qwen-base-0.5b,"John has 2 umbrellas in his house and 1 in the car.  If they cost $8 each, how much did he pay in total?",24,,0
qwen-base-0.5b,Jamal bought 4 half dozen colored crayons at $2 per crayon. What was the total cost of the crayons that she bought?,48,,0
qwen-base-0.5b,"Out of the 500 marbles that Cindy had, she gave her four friends 80 marbles each. What's four times the number of marbles she has remaining?",720,,0
qwen-base-0.5b,"In his phone gallery, Malachi has the number of selfies he took last year and this year in the ratio of 10:17. If he has 2430 photos in his gallery, how many more photos did he take this year than last year?",630,,0
qwen-base-0.5b,John buys 1.5 ounces of silver and twice as much gold.  The silver costs $20 per ounce.  The gold is 50 times more expensive per ounce.  How much does he spend on everything?,3030,,0
qwen-base-0.5b,There were 10 snowflakes at first. It snowed an additional 4 snowflakes every 5 minutes. How many minutes passed before there were 58 snowflakes?,60,,0
qwen-base-0.5b,"Lou Senior took 3 cookies out of the cookie jar and ate them.  Since he didn't get caught by his wife, he went back the next day and took another 3 cookies out of the jar.  But after eating just one of the cookies, he felt guilty about it and put the other two cookies back.  His son, Louie Junior saw that his Dad was eating cookies.  So, Louie Junior took seven cookies out of the jar and hid them in his bedroom for later.  The next morning, Debra, Lou's wife looked into the cookie jar and reacted by accusing her husband of eating half of the cookies out of the cookie jar.  How many cookies remained in the jar?",11,,0
qwen-base-0.5b,"In 3 years, Jayden will be half of Ernesto's age. If Ernesto is 11 years old, how many years old is Jayden now?",4,,0
qwen-base-0.5b,"Deborah has four letters to mail. Standard postage is $1.08 per letter, with an additional charge for international mail. Deborah is mailing two letters internationally, and she is paying $4.60 to mail four letters. How many cents is the additional charge per letter for international shipping?",14,,0
qwen-base-0.5b,John drinks 1.5 gallons of water a day.  How many quarts does he drink a week?,42,,0
qwen-base-0.5b,Betsy is sewing a quilt.  The quilt is made up of 16 squares sewn together on one side and 16 squares sewn together on the other side.  Betsy has already sewn 25% of the quilt together.  How many more squares does she need to sew together?,24,,0
